Name,Status,Population 2010,Population 2021,Area km²
Ahafo,Region,"484,210","564,668",→
Asunafo North Municipal,Municipal District,"124,685","150,198",→
Asunafo South,District,"95,580","91,693",→
Asutifi North,District,"52,259","73,556",→
Asutifi South,District,"53,584","68,394",→
Tano North Municipal,Municipal District,"79,973","93,608",→
Tano South Municipal,Municipal District,"78,129","87,219",→
Ashanti,Region,"4,780,380","5,440,463",→
Adansi Asokwa ,District,"67,133","71,844",→
Adansi North,District,"39,958","54,155",→
Adansi South,District,"40,523","85,200",→
Afigya Kwabre North,District,"41,593","73,330",→
Afigya Kwabre South,District,"94,547","234,667",→
Ahafo Ano North Municipal,Municipal District,"94,285","92,742",→
Ahafo Ano South East,District,"58,962","63,468",→
Ahafo Ano South West,District,"62,697","65,770",→
Akrofuom ,District,"74,855","49,291",→
Amansie Central,District,"90,741","93,052",→
Amansie South ,District,"60,227","116,366",→
Amansie West,District,"74,104","109,416",→
Asante Akim Central Municipal,Municipal District,"71,508","91,673",→
Asante Akim North,District,"69,186","85,788",→
Asante Akim South Municipal,Municipal District,"117,245","123,633",→
Asokore Mampong Municipal,Municipal District,"304,815","191,402",→
Asokwa Municipal,Municipal District,"140,161","125,642",→
Atwima Kwanwoma,District,"90,634","234,846",→
Atwima Mponua,District,"119,180","155,254",→
Atwima Nwabiagya Municipal,Municipal District,"85,994","161,893",→
Atwima Nwabiagya North ,District,"63,031","155,025",→
Bekwai Municipal,Municipal District,"118,024","137,967",→
Bosome Freho,District,"60,397","62,259",→
Bosomtwe,District,"93,910","165,180",→
Ejisu Municipal,Municipal District,"95,424","180,723",→
Ejura-Sekyedumase Municipal,Municipal District,"85,446","137,672",→
Juaben Municipal,Municipal District,"48,338","63,929",→
Kumasi Metropolitan,Metropolitan District,"728,634","443,981",→
Kwabre East,District,"115,556","296,814",→
Kwadaso Municipal ,Municipal District,"251,215","154,526",→
Mampong Municipal,Municipal District,"88,051","116,632",→
Obuasi East ,District,"76,004","92,401",→
Obuasi Municipal,Municipal District,"92,637","104,297",→
Offinso Municipal,Municipal District,"76,895","137,272",→
